FID IID CapYear ID
1 2255 1994 2695
1 3153 1997 2695
1 2740 1996 2695
1 3355 1998 2695
1 2444 1995 2695
1 2430 1995 2697
1 2757 1996 2697
1 2247 1994 2697
1 3184 1997 2697
1 2758 1996 2698
1 3752 1999 2698
1 2482 1995 2698
1 3018 1997 2698
1 3509 1998 2699
1 7768 2003 2699
1 3898 1999 2699
1 2831 1996 2699
1 2537 1995 2699
1 2295 1994 2700
1 2546 1995 2703
1 13462 1994 2703
1 3507 1998 2703
1 3844 1999 2703
1 4477 2001 2703
1 2300 1994 2704
1 3754 1999 2706
1 3358 1998 2706
1 2197 1994 2706
1 2348 1995 2706
1 4421 2001 2706
1 4032 2000 2706
1 2616 1996 2706
1 7596 2003 2706
1 7124 2002 2706
1 8190 2004 2706
1 2266 1994 2707
1 2368 1995 2707
1 7193 2002 2707
1 2617 1996 2707
1 3019 1997 2707
1 3360 1998 2707
1 2234 1994 2685
1 7592 2003 2784
1 8182 2004 2784
1 4557 2001 2784
1 3034 1997 2784
1 7121 2002 2784
1 2679 1996 2784
1 3348 1998 2784
1 4027 2000 2784
1 7593 2003 2787
1 4559 2001 2787
1 7122 2002 2787
1 3430 1998 2787
1 3749 1999 2787
1 8184 2004 2787
1 2379 1995 2787
1 2658 1996 2787
1 4029 2000 2787
1 3823 1999 2784
1 3156 1997 2787
1 3020 1997 2792
1 3021 1997 2795
1 2443 1995 2795
1 2883 1996 2795
1 2493 1995 2799
1 3427 1998 2799
1 2566 1996 2799
1 3185 1997 2799
1 7711 2003 2800
1 8187 2004 2800
1 2567 1996 2800
1 8971 2005 2787
1 2469 1995 2807
1 2868 1996 2807
1 2869 1996 2812
1 3022 1997 2812
1 2438 1995 2812
1 2399 1995 2817
1 3023 1997 2817
1 3426 1998 2817
1 4137 2000 2819
1 3024 1997 2819
1 3025 1997 2829
1 4620 2001 2829
1 3750 1999 2829
1 2429 1995 2829
1 3503 1998 2830
1 2539 1995 2830
1 2900 1996 2830
1 2398 1995 2834
1 3352 1998 2834
1 8183 2004 2834
1 2653 1996 2834
1 4558 2001 2834
1 3026 1997 2834
1 4028 2000 2834
1 7766 2003 2834
1 3746 1999 2834
1 3186 1997 2841
1 2467 1995 2841
1 3842 1999 2841
1 2424 1995 2842
1 2780 1996 2842
1 3027 1997 2842
1 2569 1996 2843
1 2359 1995 2850
1 2568 1996 2804
1 2360 1995 2852
1 3349 1998 2853
1 3748 1999 2853
1 3028 1997 2853
1 2361 1995 2853
1 2654 1996 2853
1 3187 1997 2856
1 2516 1995 2856
1 2781 1996 2856
1 3543 1998 2856
1 3029 1997 2858
1 2495 1995 2860
1 7767 2003 2860
1 3504 1998 2860
1 3895 1999 2860
1 4622 2001 2860
1 3188 1997 2860
1 8186 2004 2860
1 2903 1996 2860
1 4621 2001 2861
1 2496 1995 2861
1 2570 1996 2861
1 3542 1998 2861
1 2362 1995 2868
1 7191 2002 2868
1 8972 2005 2868
1 4030 2000 2868
1 9150 2006 2868
1 2655 1996 2868
1 7591 2003 2868
1 8188 2004 2868
1 4418 2001 2868
1 3824 1999 2868
1 3350 1998 2868
